[2026-07-27 06:37:30,571] Using g1_smplx body model
[2026-07-27 06:43:03,272] static_cam - init_opt |   79/400 | keypoint_tracking:   2.398 | human_smoothness:   0.113 | human_pose_reg:   0.091 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.158 | obj_smoothness:   0.332 | depth_pointcloud:   0.532
[2026-07-27 06:43:03,658] static_cam - init_opt |   80/400 | keypoint_tracking:   2.395 | human_smoothness:   0.113 | human_pose_reg:   0.092 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.159 | obj_smoothness:   0.333 | depth_pointcloud:   0.530
[2026-07-27 06:43:04,044] static_cam - init_opt |   81/400 | keypoint_tracking:   2.391 | human_smoothness:   0.113 | human_pose_reg:   0.093 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.160 | obj_smoothness:   0.333 | depth_pointcloud:   0.527
[2026-07-27 06:43:04,430] static_cam - init_opt |   82/400 | keypoint_tracking:   2.388 | human_smoothness:   0.113 | human_pose_reg:   0.094 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.161 | obj_smoothness:   0.333 | depth_pointcloud:   0.525
[2026-07-27 06:43:04,813] static_cam - init_opt |   83/400 | keypoint_tracking:   2.385 | human_smoothness:   0.113 | human_pose_reg:   0.095 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.161 | obj_smoothness:   0.333 | depth_pointcloud:   0.523
[2026-07-27 06:43:05,208] static_cam - init_opt |   84/400 | keypoint_tracking:   2.382 | human_smoothness:   0.113 | human_pose_reg:   0.096 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.163 | obj_smoothness:   0.333 | depth_pointcloud:   0.521
[2026-07-27 06:43:05,593] static_cam - init_opt |   85/400 | keypoint_tracking:   2.380 | human_smoothness:   0.113 | human_pose_reg:   0.097 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.162 | obj_smoothness:   0.332 | depth_pointcloud:   0.518
[2026-07-27 06:43:05,979] static_cam - init_opt |   86/400 | keypoint_tracking:   2.377 | human_smoothness:   0.113 | human_pose_reg:   0.097 | human_foot_contact:   0.034 | human_global_init_reg:   0.016 | verts_tracking:   0.164 | obj_smoothness:   0.334 | depth_pointcloud:   0.516
[2026-07-27 06:43:06,362] static_cam - init_opt |   87/400 | keypoint_tracking:   2.374 | human_smoothness:   0.113 | human_pose_reg:   0.098 | human_foot_contact:   0.034 | human_global_init_reg:   0.016 | verts_tracking:   0.165 | obj_smoothness:   0.335 | depth_pointcloud:   0.514
[2026-07-27 06:43:06,747] static_cam - init_opt |   88/400 | keypoint_tracking:   2.371 | human_smoothness:   0.113 | human_pose_reg:   0.099 | human_foot_contact:   0.034 | human_global_init_reg:   0.016 | verts_tracking:   0.166 | obj_smoothness:   0.332 | depth_pointcloud:   0.512
